Date,BDI_Index,Bunker_Fuel_USD,Coal_Price_USD,Port_Wait_Days,Freight_Rate_USD,Freight_Rate_USD_lag_1,Freight_Rate_USD_lag_3,Freight_Rate_USD_lag_7,Freight_Rate_USD_lag_14,Freight_Rate_USD_lag_30,BDI_Index_lag_1,BDI_Index_lag_3,BDI_Index_lag_7,BDI_Index_lag_14,BDI_Index_lag_30,Bunker_Fuel_USD_lag_1,Bunker_Fuel_USD_lag_3,Bunker_Fuel_USD_lag_7,Bunker_Fuel_USD_lag_14,Bunker_Fuel_USD_lag_30,Coal_Price_USD_lag_1,Coal_Price_USD_lag_3,Coal_Price_USD_lag_7,Coal_Price_USD_lag_14,Coal_Price_USD_lag_30,Port_Wait_Days_lag_1,Port_Wait_Days_lag_3,Port_Wait_Days_lag_7,Port_Wait_Days_lag_14,Port_Wait_Days_lag_30,Freight_MA_7,Freight_STD_7,BDI_MA_7,Bunker_MA_7,Coal_MA_7,Freight_MA_14,Freight_STD_14,BDI_MA_14,Bunker_MA_14,Coal_MA_14,Freight_MA_30,Freight_STD_30,BDI_MA_30,Bunker_MA_30,Coal_MA_30,Freight_Change_1D,Freight_Change_7D,BDI_Change_7D,Bunker_Change_7D,Coal_Change_7D,DayOfWeek,Month,Quarter,DayOfYear,Month_Sin,Month_Cos,Target_7D,Direction_7D
2021-01-31,2111.0,517.33,169.68,3,36.93,35.1,35.82,36.0,34.38,35.56,2096.3,2077.6,2082.4,2036.1,2052.7,518.28,520.41,508.93,506.47,503.17,162.73,169.74,170.19,165.49,172.78,2.0,3.0,3.0,3.0,3.0,35.94714285714286,0.7399935649655941,2108.514285714286,516.5885714285714,167.15142857142857,35.96357142857143,0.8728257130004421,2110.457142857143,514.6007142857143,168.26642857142858,35.835,0.8946960570399081,2101.1400000000003,509.954,168.8036666666667,0.052136752136752174,0.025833333333333375,0.013734152900499286,0.016505216827461533,-0.002996650802044698,6,1,1,31,0.49999999999999994,0.8660254037844387,35.81,0
2021-02-01,2142.7,530.19,168.17,4,36.5,36.93,35.16,35.96,36.84,36.59,2111.0,2149.2,2170.9,2112.5,2103.2,517.33,516.13,513.96,513.76,500.68,169.68,164.35,164.76,167.52,172.88,3.0,2.0,3.0,5.0,5.0,36.02428571428572,0.769130616190722,2104.4857142857145,518.9071428571428,167.63857142857142,35.93928571428571,0.8510216872018689,2112.6142857142854,515.7742857142857,168.31285714285715,35.831999999999994,0.8922246508510098,2102.4566666666665,510.93766666666664,168.64666666666668,-0.011643650148930429,0.015016685205784253,-0.012990004145746137,0.031578332944198095,0.020696771060937147,0,2,1,32,0.8660254037844386,0.5000000000000001,37.18,1
2021-02-02,2110.4,521.44,164.16,3,37.1,36.5,35.1,35.75,34.25,36.83,2142.7,2096.3,2059.3,2120.7,2090.7,530.19,518.28,517.85,508.3,505.3,168.17,162.73,171.15,168.5,173.68,4.0,2.0,3.0,2.0,4.0,36.21714285714286,0.8535165353937185,2111.785714285714,519.42,166.64000000000001,36.14285714285714,0.7508193326824231,2111.878571428572,516.7128571428572,168.00285714285715,35.841,0.9039238219352718,2103.1133333333332,511.47566666666665,168.32933333333332,0.016438356164383494,0.03776223776223775,0.02481425727188835,0.006932509413922983,-0.04084136722173537,1,2,1,33,0.8660254037844386,0.5000000000000001,35.58,0
2021-02-03,2088.5,516.8,164.07,2,35.94,37.1,36.93,36.91,35.69,35.62,2110.4,2111.0,2095.3,2062.7,2101.3,521.44,517.33,512.16,506.43,510.37,164.16,169.68,167.65,167.47,170.22,3.0,3.0,5.0,5.0,3.0,36.07857142857143,0.7993002892411399,2110.8142857142857,520.0828571428572,166.12857142857143,36.160714285714285,0.7421430951146705,2113.7214285714285,517.4535714285714,167.76,35.851666666666674,0.9031137070248088,2102.6866666666665,511.68999999999994,168.1243333333333,-0.03126684636118604,-0.026280140883229497,-0.0032453586598578665,0.009059668853483194,-0.021354011333134526,2,2,1,34,0.8660254037844386,0.5000000000000001,35.21,0
2021-02-04,2098.5,526.77,169.86,2,35.7,35.94,36.5,35.82,36.81,35.39,2088.5,2142.7,2077.6,2145.3,2076.2,516.8,530.19,520.41,521.47,502.27,164.07,168.17,169.74,173.07,170.52,2.0,4.0,3.0,3.0,4.0,36.06142857142857,0.8070197967714107,2113.8,520.9914285714286,166.1457142857143,36.08142857142857,0.7265710526201149,2110.378571428572,517.8321428571428,167.5307142857143,35.861999999999995,0.89941513563365,2103.43,512.5066666666667,168.10233333333332,-0.006677796327211882,-0.00335008375209378,0.010059684251058965,0.012221133337176449,0.0007069635913750094,3,2,1,35,0.8660254037844386,0.5000000000000001,36.52,1
2021-02-05,2105.3,517.11,162.72,3,35.92,35.7,37.1,35.16,35.12,36.58,2098.5,2110.4,2149.2,2110.9,2139.9,526.77,521.44,516.13,513.65,502.95,169.86,164.16,164.35,169.56,168.04,2.0,3.0,2.0,2.0,5.0,36.17,0.7109383470691056,2107.5285714285715,521.1314285714286,165.91285714285712,36.13857142857143,0.674751887652134,2109.9785714285713,518.0792857142858,167.04214285714284,35.84,0.8892616076816495,2102.2766666666666,512.9786666666666,167.925,0.006162464985994376,0.021615472127417767,-0.020426205099571715,0.0018987464398505516,-0.00991785822938851,4,2,1,36,0.8660254037844386,0.5000000000000001,36.54,1
2021-02-06,2138.7,524.82,171.01,5,36.8,35.92,35.94,35.1,37.15,35.31,2105.3,2088.5,2096.3,2152.3,2067.9,517.11,516.8,518.28,515.75,512.7,162.72,164.07,162.73,169.36,168.91,3.0,2.0,2.0,6.0,3.0,36.41285714285714,0.558531237136447,2113.5857142857144,522.0657142857143,167.0957142857143,36.113571428571426,0.6399832587096156,2109.007142857143,518.7271428571429,167.16000000000003,35.88966666666666,0.9001819100961589,2104.6366666666668,513.3826666666666,167.995,0.024498886414253684,0.04843304843304841,0.020226112674712304,0.0126186617272519,0.05088182879616543,5,2,1,37,0.8660254037844386,0.5000000000000001,35.32,0
2021-02-07,2115.5,514.53,163.18,3,35.81,36.8,35.7,36.93,36.0,36.24,2138.7,2098.5,2111.0,2082.4,2178.1,524.82,526.77,517.33,508.93,509.32,171.01,169.86,169.68,170.19,171.66,5.0,2.0,3.0,3.0,3.0,36.25285714285714,0.5459766260477611,2114.2285714285713,521.6657142857143,166.16714285714286,36.1,0.6445749941449248,2111.3714285714286,519.1271428571429,166.65928571428572,35.87533333333333,0.8978316151681244,2102.55,513.5563333333333,167.71233333333336,-0.026902173913043392,-0.030327646899539595,0.002131691141639136,-0.00541240600777082,-0.03830740216878825,6,2,1,38,0.8660254037844386,0.5000000000000001,37.13,1
2021-02-08,2160.3,518.23,167.58,6,37.18,35.81,35.92,36.5,35.96,35.11,2115.5,2105.3,2142.7,2170.9,2092.7,514.53,517.11,530.19,513.96,503.82,163.18,162.72,168.17,164.76,173.37,3.0,3.0,4.0,3.0,3.0,36.35,0.6482026432117441,2116.7428571428572,519.9571428571429,166.08285714285714,36.18714285714286,0.7039277560334548,2110.6142857142854,519.4321428571428,166.86071428571427,35.94433333333333,0.9163370985401178,2104.8033333333337,514.0366666666666,167.51933333333332,0.03825746998045232,0.018630136986301338,0.00821393568861728,-0.022557950923253967,-0.003508354641136746,0,2,1,39,0.8660254037844386,0.5000000000000001,34.94,0
2021-02-09,2064.2,526.39,164.46,3,35.58,37.18,36.8,37.1,35.75,37.22,2160.3,2138.7,2110.4,2059.3,2107.5,518.23,524.82,521.44,517.85,509.56,167.58,171.01,164.16,171.15,169.29,6.0,5.0,3.0,3.0,6.0,36.13285714285714,0.6084601955130882,2110.1428571428573,520.6642857142857,166.1257142857143,36.175,0.7134504456944067,2110.964285714286,520.0421428571428,166.38285714285712,35.88966666666667,0.8860274897787761,2103.36,514.5976666666667,167.35833333333332,-0.04303388918773543,-0.04097035040431274,-0.02189158453373785,0.00949294262043554,0.001827485380117011,1,2,1,40,0.8660254037844386,0.5000000000000001,35.93,1
